iter	Passed	Remaining
0	101	101237
1	115	57840
2	131	43664
3	141	35303
4	157	31299
5	171	28450
6	186	26465
7	201	24987
8	214	23632
9	223	22149
10	234	21091
11	251	20745
12	266	20231
13	284	20002
14	298	19596
15	310	19119
16	326	18881
17	339	18534
18	356	18427
19	370	18178
20	381	17795
21	396	17620
22	426	18102
23	440	17893
24	449	17542
25	463	17360
26	473	17072
27	482	16763
28	504	16902
29	514	16648
30	527	16492
31	541	16365
32	556	16320
33	576	16374
34	591	16300
35	606	16250
36	622	16190
37	660	16711
38	679	16747
39	694	16661
40	706	16532
41	723	16501
42	735	16364
43	744	16181
44	762	16185
45	778	16151
46	791	16043
47	808	16029
48	821	15948
49	835	15867
50	844	15707
51	867	15808
52	876	15665
53	893	15656
54	906	15576
55	925	15594
56	940	15554
57	955	15515
58	967	15437
59	976	15302
60	997	15361
61	1007	15239
62	1021	15200
63	1035	15142
64	1044	15022
65	1055	14938
66	1073	14945
67	1088	14913
68	1101	14857
69	1115	14822
70	1134	14848
71	1204	15527
72	1237	15716
73	1259	15754
74	1273	15710
75	1287	15659
76	1305	15643
77	1317	15574
78	1333	15543
79	1345	15475
80	1362	15456
81	1371	15351
82	1388	15338
83	1400	15267
84	1421	15300
85	1434	15248
86	1447	15192
87	1460	15131
88	1481	15168
89	1494	15109
90	1503	15021
91	1518	14987
92	1531	14937
93	1551	14950
94	1564	14904
95	1576	14847
96	1587	14775
97	1601	14740
98	1631	14845
99	1669	15027
100	1693	15077
101	1734	15268
102	1751	15250
103	1768	15236
104	1782	15192
105	1796	15148
106	1806	15073
107	1821	15044
108	1834	14994
109	1852	14988
110	1865	14940
111	1880	14905
112	1901	14923
113	1916	14891
114	1930	14854
115	1952	14882
116	1970	14872
117	1985	14838
118	2001	14814
119	2015	14778
120	2029	14741
121	2051	14761
122	2064	14721
123	2079	14689
124	2094	14659
125	2137	14823
126	2160	14848
127	2182	14866
128	2229	15051
129	2261	15134
130	2300	15257
131	2325	15291
132	2353	15345
133	2397	15497
134	2456	15740
135	2490	15821
136	2519	15872
137	2552	15942
138	2590	16043
139	2609	16029
140	2631	16034
141	2660	16077
142	2686	16097
143	2698	16038
144	2716	16016
145	2731	15978
146	2743	15918
147	2752	15843
148	2768	15810
149	2793	15829
150	2808	15791
151	2817	15717
152	2828	15658
153	2847	15640
154	2860	15593
155	2874	15549
156	2883	15481
157	2898	15446
158	2915	15422
159	2927	15369
160	2942	15334
161	2954	15282
162	2973	15270
163	2986	15222
164	2996	15166
165	3009	15121
166	3025	15088
167	3037	15044
168	3053	15013
169	3062	14954
170	3078	14925
171	3095	14902
172	3109	14866
173	3123	14827
174	3135	14783
175	3157	14782
176	3171	14748
177	3180	14689
178	3192	14642
179	3207	14613
180	3221	14574
181	3249	14605
182	3267	14588
183	3277	14535
184	3295	14515
185	3308	14480
186	3320	14436
187	3334	14403
188	3344	14352
189	3355	14304
190	3369	14272
191	3384	14242
192	3397	14204
193	3416	14196
194	3430	14160
195	3438	14106
196	3452	14072
197	3468	14050
198	3483	14021
199	3498	13993
200	3515	13973
201	3527	13934
202	3537	13887
203	3554	13869
204	3567	13835
205	3580	13802
206	3593	13766
207	3609	13743
208	3617	13692
209	3634	13671
210	3649	13645
211	3662	13613
212	3677	13589
213	3686	13541
214	3700	13510
215	3711	13472
216	3728	13452
217	3743	13429
218	3753	13386
219	3767	13357
220	3782	13331
221	3795	13300
222	3814	13291
223	3828	13262
224	3840	13229
225	3849	13184
226	3868	13174
227	3880	13139
228	3895	13116
229	3909	13089
230	3925	13066
231	3934	13022
232	3948	12999
233	3964	12976
234	3975	12940
235	3992	12924
236	4008	12903
237	4017	12863
238	4031	12837
239	4045	12812
240	4057	12779
241	4074	12761
242	4090	12742
243	4099	12701
244	4112	12672
245	4126	12646
246	4142	12628
247	4155	12600
248	4164	12560
249	4189	12568
250	4204	12547
251	4214	12510
252	4231	12494
253	4243	12463
254	4263	12455
255	4276	12427
256	4290	12403
257	4303	12375
258	4312	12338
259	4326	12313
260	4341	12291
261	4356	12269
262	4369	12244
263	4391	12241
264	4401	12208
265	4427	12216
266	4457	12236
267	4483	12247
268	4535	12325
269	4590	12412
270	4610	12402
271	4646	12435
272	4673	12445
273	4725	12519
